"county","proficiency_lp_center","proficiency_mt_center","classroom_center","classroom_used_center","computers_center","employees_center","proficiency_lp_radius","proficiency_mt_radius","classroom_radius","classroom_used_radius","computers_radius","employees_radius"
4123857,250.830019279412,248.540262102941,5.23809523809524,4.71428571428571,11.6190476190476,20.5714285714286,89.325531616584,83.2904722588562,8.89729761005581,8.60564598720763,31.9529415890067,38.6966222224702
4123907,236.728819528736,243.129209310345,8.92307692307692,7.92307692307692,13.0769230769231,32.1538461538462,88.352588720723,74.5789633800698,9.18192203777032,6.13522824685648,26.6265724225699,38.269623757807
4124020,254.195437462366,252.59207227957,7.72727272727273,7.72727272727273,12.3636363636364,23,94.3994930026775,89.4895171327196,7.16049769727826,7.0478881427508,30.1499283882762,33.5857112474933
4124053,268.617623326471,271.488787061765,9.8125,9.4375,14.6875,35.0625,89.7263322125609,86.4873701759755,6.6620817567284,5.88642506110457,18.5862852662925,39.2358254660202
4124103,265.076941356077,265.035154929638,9.12765957446809,7.97872340425532,13.6382978723404,29.9787234042553,89.1763016077404,87.8684238423331,12.7150511378998,10.1680604939716,37.8036702426006,50.0390966479162
4124400,265.157831356021,265.967442743455,7,6.27586206896552,14,24.2758620689655,80.7323134495701,78.2001665852016,7.40656079818041,8.26172848957577,33.6876408027802,41.9077100022832
4124707,236.318566906977,243.674887511628,6.2,6.1,13.75,27.55,99.1577854281219,89.6261816261575,5.3350874308428,6.15244923416255,28.2907833234188,25.7475599252679
4124806,269.852602617886,279.303266365854,7.8,7.4,10.5333333333333,27.8666666666667,81.1056664052961,81.7131496083232,7.41427195154241,7.32120208708925,15.5630820793802,26.6283057415726
4125001,246.643281892857,245.395807017857,8.4375,7.125,13,27,93.3864166258703,73.5162079394161,10.0920760995942,7.86129760281342,33.1139446960542,34.3705300124006
4125100,262.05195618239,267.408324534591,5.86666666666667,5.8,8.73333333333333,23.1333333333333,80.6222326610168,66.3435400879175,5.11952378737748,5.13809303146605,18.7687683843844,32.801277559324
4125209,266.074741,265.6200568,7.38461538461539,7.53846153846154,14.7692307692308,29.4615384615385,86.1572842661768,86.3376146898576,4.86747446755581,5.92257740151389,19.7847390034819,39.6199897746528
4125506,266.363194197055,266.737492435484,11.4943181818182,10.9431818181818,17.3295454545455,43.2159090909091,93.209081064661,89.5893048870804,16.881431434352,14.8095967481953,42.1103004334735,59.919907582333
4125605,263.789616046512,269.328346034884,8.45454545454546,7.78181818181818,11.1272727272727,27.6909090909091,82.4844185877829,80.6845824975011,11.6924678624234,10.2030562530233,22.1009620888441,45.087360021075
4125704,269.091185605578,274.662827505976,12.3030303030303,7.87878787878788,13.969696969697,31.3333333333333,87.269663344167,84.3602613540576,44.250663408826,7.11964844212086,20.3253834433993,40.4124568254229
4125753,262.092012793478,263.36557751087,8.44444444444444,7,9.11111111111111,22.2222222222222,83.8958228448305,85.2194820177528,7.55718936583642,6.6332495807108,21.3411444033455,26.3775999245151
4125803,250.337770921053,261.584540881579,9.08333333333333,7.66666666666667,10.6666666666667,26.5833333333333,75.1024085146423,75.1711879025764,8.20014781832768,6.16932784512268,26.8644182832417,25.3191746717899
4126207,274.644990746667,286.502487986667,6.08333333333333,5.75,6.91666666666667,24,94.5793054230254,76.7860457340525,5.42441171227281,5.26566925729985,18.6734295108577,36.0504696728956
4126256,255.72877618955,257.16396554192,9.85416666666667,9.60416666666667,15.5208333333333,40.6875,93.0991722447251,85.5686806757226,9.31701334058573,10.4758249222397,31.3687460213244,62.3867910869573
4126306,252.163900074766,263.878454775701,7.9,6.65,13.9,22.45,90.7279008931204,95.1042594054768,8.3577886775718,6.87558609941919,24.8269802305561,34.0184160651102
